#First four weeks of 2016 milk recorded in mL; those data are on paper.,,,,,,,,,,
call_name,milker_initials,milking_month,milking_day,time_24_hr_start,weight_lbs_milk,time_24_hr_end,milking_year,notes,,
Reason,EB,3,10,17:08,3.5,17:36,2016,,,
Fancy,EH,3,10,17:08,1.9,17:33,2016,,,
Reason,EB,3,11,4:42,3.0,5:13,2016,,,
Fancy,EB,3,11,5:18,2.6,5:25,2016,,,
Fancy,EB,3,11,12:50,0.5,12:53,2016,Only smaller left side milked due to lopsided udder,,
Reason,EB,3,11,17:09,3.7,17:38,2016,,,
Fancy,EH,3,11,17:09,2.0,17:27,2016,,,
Reason,EH,3,12,5:00,3.5,5:53,2016,,,
Fancy,EB,3,12,5:00,2.8,5:08,2016,,,
Fancy,EH,3,12,12:00,0.7,12:07,2016,Only smaller left side milked due to lopsided udder,,
Reason,EB,3,12,17:23,3.4,17:41,2016,,,
Fancy,EH,3,12,17:23,2.4,17:41,2016,,,
Reason,EB,3,13,5:31,3.3,5:54,2016,,,
Fancy,EB,3,13,5:31,2.5,5:52,2016,,,
Reason,EB;EH,3,13,17:22,3.5,17:57,2016,Spice kidded,,
Fancy,EH,3,13,17:22,2.2,17:38,2016,Spice kidded,,
Spice,EB,3,13,17:40,0.9,17:49,2016,Second colostrum milking after kidding,,
Reason,EB,3,14,7:10,3.5,17:34,2016,,,
Reason,EB,3,14,17:16,3.0,17:47,2016,,,
Reason,EB,3,15,4:30,3.4,4:53,2016,,,
Reason,EB,3,15,17:05,3.5,17:28,2016,,,
Reason,EB,3,16,6:15,3.5,6:50,2016,,,
Reason,EB,3,16,17:01,3.2,17:31,2016,,,
Reason,EH,3,17,4:59,4.4,5:54,2016,,,
Reason,EB,3,17,17:10,1.6,17:31,2016,kicked bucket over,,
Reason,EB,3,18,6:57,3.7,7:17,2016,,,
Reason,EH,3,18,17:13,3.0,17:38,2016,,,
Reason,EH,3,19,4:50,3.0,5:14,2016,,,
Reason,EB,3,19,17:04,3.9,17:23,2016,,,
Reason,EH,3,20,5:09,3.9,5:31,2016,,,
Reason,EB,3,20,17:10,3.4,17:35,2016,,,
Reason,EB,3,21,5:57,3.9,6:20,2016,,,
Reason,EH,3,21,16:57,2.8,17:19,2016,,,
Reason,EB,3,22,4:57,3.2,5:16,2016,,:,l
Reason,EH,3,22,17:06,3.0,17:34,2016,,,
Fancy,EH,3,14,7:38,3.0,7:48,2016,,,
Fancy,EH,3,14,17:16,1.8,17:33,2016,,,
Fancy,EB,3,15,4:55,2.8,5:06,2016,,,
Fancy,EH,3,15,17:05,2.3,17:21,2016,,,
Fancy,EB,3,16,6:55,3.1,7:02,2016,,,
Fancy,EB,3,16,17:01,2.4,17:13,2016,,,
Fancy,EB,3,17,4:59,2.8,5:10,2016,,,
Fancy,EH,3,17,17:10,2.8,17:29,2016,,,
Fancy,EB,3,18,7:21,3.0,7:31,2016,,,
Fancy,EB,3,18,17:13,2.4,17:21,2016,,,
Fancy,EB,3,19,5:02,2.7,5:11,2016,,,
Fancy,EB,3,19,17:04,2.4,17:16,2016,,,
Fancy,EB,3,20,5:09,2.7,5:17,2016,,,
Fancy,EH,3,20,17:10,2.8,17:22,2016,,,
Fancy,EB,3,21,5:25,3.3,5:34,2016,,,
Fancy,EB,3,21,16:57,2.8,17:06,2016,,,
Spice,EB,3,14,6:48,2.0,7:04,2016,,,
Spice,EH,3,14,17:37,1.8,,2016,,,
Spice,EB,3,15,5:17,2.2,5:28,2016,,,
Spice,EB,3,15,17:30,2.5,17:42,2016,,,
Spice,EB,3,16,7:09,2.5,7:36,2016,,,
Spice,EB,3,16,12:49,1.5,12:58,2016,3 milkings due to congestion in morning,,
Spice,EH,3,16,17:19,1.2,17:35,2016,,,
Spice,EB,3,17,5:24,2.5,5:45,2016,,,
Spice,EB,3,17,17:32,2.7,17:48,2016,,,
Spice,EB,3,18,4:39,2.6,4:58,2016,,,
Spice,EB,3,18,17:25,2.8,17:48,2016,,,
Spice,EB,3,19,4:40,2.5,4:57,2016,,,
Spice,EH,3,19,17:20,2.9,17:41,2016,,,
Spice,EB,3,20,5:20,2.7,5:31,2016,,,
Spice,EH,3,20,17:24,2.6,17:43,2016,,,
Spice,EB,3,21,6:37,2.8,6:50,2016,,,
Spice,EB,3,21,17:15,2.4,17:21,2016,,,
Spice,EB,3,22,5:31,2.6,5:45,2016,,,
Spice,EB,3,22,17:20,2.5,17:30,2016,,,
Spice,EB,3,23,7:15,2.8,7:29,2016,,,
Spice,EH,3,23,17:30,2.8,17:45,2016,,,
Spice,EB,3,24,5:35,2.2,5:47,2016,,,
Spice,EH,3,24,17:37,2.5,17:51,2016,,,
Spice,,3,25,6:12,2.7,5:23,2016,,,
